op,n,radix,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
QuantumArithmetic.WBC2023.AddWithOp,1448,10,12654,11376828,30513,0.2563092
QuantumArithmetic.WBC2023.AddWithOp,1448,25,12128,10912896,28272,0.2374848
QuantumArithmetic.WBC2023.AddWithOp,1448,50,11956,10761192,27245,0.228858
QuantumArithmetic.WBC2023.AddWithOp,1448,100,11974,10777068,26943,0.2263212
QuantumArithmetic.WBC2023.AddWithOp,1448,250,11924,10732968,24376,0.2047584
QuantumArithmetic.WBC2023.AddWithOp,1722,3,17444,15619608,45546,0.3825864
QuantumArithmetic.WBC2023.AddWithOp,1722,5,16071,14390622,40355,0.338982
QuantumArithmetic.WBC2023.AddWithOp,1722,10,15043,13483926,36419,0.3059196
QuantumArithmetic.WBC2023.AddWithOp,1722,25,14410,12925620,33767,0.2836428
QuantumArithmetic.WBC2023.AddWithOp,1722,50,14256,12789792,33005,0.277242
QuantumArithmetic.WBC2023.AddWithOp,1722,100,14256,12789792,32634,0.2741256
QuantumArithmetic.WBC2023.AddWithOp,1722,250,14093,12646026,29221,0.2454564
QuantumArithmetic.WBC2023.AddWithOp,2048,3,20733,18520506,54283,0.4559772
QuantumArithmetic.WBC2023.AddWithOp,2048,5,19088,17051616,48008,0.4032672
QuantumArithmetic.WBC2023.AddWithOp,2048,10,17853,15962346,43253,0.3633252
QuantumArithmetic.WBC2023.AddWithOp,2048,25,17113,15309666,40224,0.3378816
QuantumArithmetic.WBC2023.AddWithOp,2048,50,16869,15094458,38921,0.3269364
QuantumArithmetic.WBC2023.AddWithOp,2048,100,16851,15078582,38481,0.3232404
QuantumArithmetic.WBC2023.AddWithOp,2048,250,17083,15283206,38225,0.32109
QuantumArithmetic.WBC2023.AddWithOp,2435,3,24627,21955014,64583,0.5424972
QuantumArithmetic.WBC2023.AddWithOp,2435,5,22665,20206530,57080,0.479472
QuantumArithmetic.WBC2023.AddWithOp,2435,10,21209,18922338,51511,0.4326924
QuantumArithmetic.WBC2023.AddWithOp,2435,25,20355,18169110,48153,0.4044852
QuantumArithmetic.WBC2023.AddWithOp,2435,50,20063,17911566,46666,0.3919944
QuantumArithmetic.WBC2023.AddWithOp,2435,100,20020,17873640,46134,0.3875256
QuantumArithmetic.WBC2023.AddWithOp,2435,250,19932,17796024,43409,0.3646356
QuantumArithmetic.WBC2023.AddWithOp,2896,3,29270,31165660,76900,0.70748
QuantumArithmetic.WBC2023.AddWithOp,2896,5,26948,28708984,68062,0.6261704
QuantumArithmetic.WBC2023.AddWithOp,2896,10,25201,22443282,61352,0.5153568
QuantumArithmetic.WBC2023.AddWithOp,2896,25,24150,21516300,57110,0.479724
QuantumArithmetic.WBC2023.AddWithOp,2896,50,23804,21211128,55416,0.4654944
QuantumArithmetic.WBC2023.AddWithOp,2896,100,23633,21060306,53989,0.4535076
QuantumArithmetic.WBC2023.AddWithOp,2896,250,23734,21149388,52818,0.4436712
QuantumArithmetic.WBC2023.AddWithOp,3444,3,34768,37000544,91426,0.8411192
QuantumArithmetic.WBC2023.AddWithOp,3444,5,32009,34063522,80933,0.7445836
QuantumArithmetic.WBC2023.AddWithOp,3444,10,29946,31880868,73041,0.6719772
QuantumArithmetic.WBC2023.AddWithOp,3444,25,28700,30562600,68080,0.626336
QuantumArithmetic.WBC2023.AddWithOp,3444,50,28288,30126704,66133,0.6084236
QuantumArithmetic.WBC2023.AddWithOp,3444,100,28185,30017730,65371,0.6014132
QuantumArithmetic.WBC2023.AddWithOp,3444,250,28061,29886538,62508,0.5750736
QuantumArithmetic.WBC2023.AddWithOp,4096,3,41332,43927256,108880,1.001696
QuantumArithmetic.WBC2023.AddWithOp,4096,5,38046,40450668,96342,0.8863464
QuantumArithmetic.WBC2023.AddWithOp,4096,10,35577,37838466,86872,0.7992224
QuantumArithmetic.WBC2023.AddWithOp,4096,25,34097,36272626,81014,0.7453288
QuantumArithmetic.WBC2023.AddWithOp,4096,50,33606,35753148,78768,0.7246656
QuantumArithmetic.WBC2023.AddWithOp,4096,100,33363,35496054,77065,0.708998
QuantumArithmetic.WBC2023.AddWithOp,4096,250,33522,35664276,76533,0.7041036
QuantumArithmetic.WBC2023.AddWithOp,4871,3,49113,52177554,129503,1.1914276
QuantumArithmetic.WBC2023.AddWithOp,4871,5,45209,48029122,114612,1.0544304
QuantumArithmetic.WBC2023.AddWithOp,4871,10,42285,44935530,103431,0.9515652
QuantumArithmetic.WBC2023.AddWithOp,4871,25,40518,43066044,96472,0.8875424
QuantumArithmetic.WBC2023.AddWithOp,4871,50,39985,42502130,94261,0.8672012
QuantumArithmetic.WBC2023.AddWithOp,4871,100,39694,42194252,92374,0.8498408
QuantumArithmetic.WBC2023.AddWithOp,4871,250,39720,42221760,90907,0.8363444
QuantumArithmetic.WBC2023.AddWithOp,5793,3,58371,61972518,154086,1.4175912
QuantumArithmetic.WBC2023.AddWithOp,5793,5,53727,57041166,136370,1.254604
QuantumArithmetic.WBC2023.AddWithOp,5793,10,50250,53362500,123073,1.1322716
QuantumArithmetic.WBC2023.AddWithOp,5793,25,48152,51142816,114829,1.0564268
QuantumArithmetic.WBC2023.AddWithOp,5793,50,47457,50407506,111801,1.0285692
QuantumArithmetic.WBC2023.AddWithOp,5793,100,47112,50042496,109707,1.0093044
QuantumArithmetic.WBC2023.AddWithOp,5793,250,47311,50253038,109745,1.009654
QuantumArithmetic.WBC2023.AddWithOp,6889,3,69380,73602040,183340,1.686728
QuantumArithmetic.WBC2023.AddWithOp,6889,5,63847,67748126,162195,1.492194
QuantumArithmetic.WBC2023.AddWithOp,6889,10,59700,63360600,146308,1.3460336
QuantumArithmetic.WBC2023.AddWithOp,6889,25,57234,60751572,136749,1.2580908
QuantumArithmetic.WBC2023.AddWithOp,6889,50,56406,59875548,133215,1.225578
QuantumArithmetic.WBC2023.AddWithOp,6889,100,55995,59440710,130868,1.2039856
QuantumArithmetic.WBC2023.AddWithOp,6889,250,55949,59392042,129125,1.18795
QuantumArithmetic.WBC2023.AddWithOp,8192,3,82454,103283500,218063,2.18063
QuantumArithmetic.WBC2023.AddWithOp,8192,5,75884,80501272,192967,1.7752964
QuantumArithmetic.WBC2023.AddWithOp,8192,10,70964,75277912,174150,1.60218
QuantumArithmetic.WBC2023.AddWithOp,8192,25,68005,72147290,162634,1.4962328
QuantumArithmetic.WBC2023.AddWithOp,8192,50,67021,71106218,158502,1.4582184
QuantumArithmetic.WBC2023.AddWithOp,8192,100,66531,70587798,155856,1.4338752
QuantumArithmetic.WBC2023.AddWithOp,8192,250,66341,70386778,153169,1.4091548
QuantumArithmetic.WBC2023.AddWithOp,9742,3,98006,122723500,259380,2.5938
QuantumArithmetic.WBC2023.AddWithOp,9742,5,90192,112938000,229527,2.29527
QuantumArithmetic.WBC2023.AddWithOp,9742,10,84340,105623000,207145,2.07145
QuantumArithmetic.WBC2023.AddWithOp,9742,25,80826,85729908,193530,1.780476
QuantumArithmetic.WBC2023.AddWithOp,9742,50,79656,84474048,188685,1.735902
QuantumArithmetic.WBC2023.AddWithOp,9742,100,79174,83964092,186474,1.7155608
QuantumArithmetic.WBC2023.AddWithOp,9742,250,78721,83484818,181937,1.6738204
QuantumArithmetic.WBC2023.AddWithOp,11585,3,116490,145828500,308523,3.08523
