op,n,Logical qubits,Physical qubits,Logical depth,"Runtime, seconds"
"QuantumArithmetic.LYY2021.ModExpWindowedMontgomery(_,_,_,_,11)",512,102030,223047540,1707502258,22539.0298056
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,3,59,165142,405,0.002106
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,4,72,159856,784,0.0040768
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,5,86,164588,1359,0.0070668
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,6,126,259500,5319,0.031914
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,7,143,370350,7651,0.045906
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,8,161,378450,10097,0.060582
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,10,195,400710,16563,0.1126284
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,11,213,447114,20119,0.1368092
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,13,247,466766,28549,0.1941332
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,16,298,496244,45833,0.3116644
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,19,429,597738,103577,0.7871852
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,23,513,658386,155925,1.18503
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,27,596,736312,222385,1.690126
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,32,833,1022706,430789,3.6186276
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,38,982,1154124,603115,5.066166
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,45,1341,1560762,1110543,9.3285612
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,54,1599,2224862,1643621,15.1213132
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,64,2148,2839024,2769585,25.480182
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,76,2850,3581740,4552963,41.8872596
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,91,3400,4783120,6721689,67.21689
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,108,4461,6109370,11126993,111.26993
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,128,6310,8453940,19363945,193.63945
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,152,8091,12329798,29730167,321.0858036
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,181,11078,16684844,51129111,552.1943988
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,215,14871,22215038,82293933,888.7744764
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,256,18713,31975066,127659085,1480.845386
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,304,25865,44038050,210862399,2446.0038284
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,362,35134,59628508,353311995,4098.419142
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,431,45257,87483754,562879559,6979.7065316
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,512,64001,123609682,938124395,11632.742498
QuantumArithmetic.LYY2021.ModExpWindowedOptimal,609,85854,165892668,1553578211,19264.3698164
QuantumArithmetic.PG2012.EXP_MOD,3,79,603662,73875,0.50235
QuantumArithmetic.PG2012.EXP_MOD,4,102,757644,161343,1.2262068
QuantumArithmetic.PG2012.EXP_MOD,5,124,1788848,287735,2.186786
QuantumArithmetic.PG2012.EXP_MOD,6,146,2304532,455004,3.4580304
QuantumArithmetic.PG2012.EXP_MOD,7,167,2446374,682941,5.7367044
QuantumArithmetic.PG2012.EXP_MOD,8,189,2732338,936680,7.868112
QuantumArithmetic.PG2012.EXP_MOD,10,232,3236744,1602924,13.4645616
